dimensions,dtype,index_dtype,size,block_size,compress,negate,add,multiply,dot,norm2,mean,variance,cosine_similarity,structural_similarity,decompress
3,float16,int8,512,4,0.01468663215637207,6.580352783203125e-06,0.002601337432861328,1.0156631469726563e-05,0.00601344108581543,0.0019976615905761717,0.0006597042083740234,0.001419210433959961,0.0034604549407958986,0.009128570556640625,0.0032892704010009767
3,float16,int8,1024,4,0.12157251834869384,8.821487426757812e-06,0.02074904441833496,1.0824203491210937e-05,0.048429107666015624,0.01548314094543457,0.0047741889953613285,0.010541582107543945,0.026777887344360353,0.06829519271850586,0.021317529678344726
3,float16,int8,2048,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,4096,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,8192,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,8,8,0.0003476858139038086,1.0442733764648437e-05,0.00015516281127929686,1.587867736816406e-05,0.0001895427703857422,8.940696716308594e-05,0.00014462471008300782,0.000167083740234375,0.00020251274108886718,0.0010732173919677734,0.0002974987030029297
3,float16,int8,16,8,0.00022077560424804688,6.4373016357421875e-06,9.961128234863282e-05,9.822845458984376e-06,0.00012197494506835938,5.6743621826171875e-05,9.179115295410156e-05,0.00010309219360351562,0.0001305103302001953,0.0006945610046386718,0.00018901824951171874
3,float16,int8,32,8,0.00023331642150878907,6.532669067382812e-06,9.913444519042969e-05,9.822845458984376e-06,0.00012087821960449219,5.650520324707031e-05,9.19342041015625e-05,0.00010285377502441406,0.00013022422790527345,0.0006971359252929688,0.00020294189453125
3,float16,int8,64,8,0.0002542257308959961,6.4373016357421875e-06,9.922981262207031e-05,9.870529174804687e-06,0.00013365745544433594,6.303787231445312e-05,9.369850158691406e-05,0.00011110305786132812,0.00014510154724121094,0.0007145881652832031,0.00022559165954589845
3,float16,int8,128,8,0.0003205537796020508,6.628036499023438e-06,0.0001003265380859375,9.822845458984376e-06,0.00013518333435058594,6.365776062011719e-05,9.331703186035156e-05,0.00011129379272460938,0.00014705657958984374,0.0007231235504150391,0.00027527809143066404
3,float16,int8,256,8,0.001271367073059082,6.4849853515625e-06,0.0002794742584228516,1.0061264038085938e-05,0.0007065296173095703,0.0002824306488037109,0.00013298988342285155,0.0002571582794189453,0.0004907131195068359,0.0015460014343261718,0.0005162239074707031
3,float16,int8,512,8,0.01146261692047119,6.67572021484375e-06,0.0019461631774902344,1.0347366333007812e-05,0.005391597747802734,0.0020026683807373045,0.0005889415740966796,0.0014215946197509766,0.003271055221557617,0.008604288101196289,0.0024728298187255858
3,float16,int8,1024,8,0.0950502634048462,8.535385131835937e-06,0.015402269363403321,1.0824203491210937e-05,0.04296412467956543,0.015497827529907226,0.0041446685791015625,0.010545635223388672,0.025210189819335937,0.06373763084411621,0.017431354522705077
3,float16,int8,2048,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,4096,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,8192,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,16,16,0.00025315284729003905,7.343292236328125e-06,0.00010323524475097656,1.0776519775390626e-05,0.000124359130859375,5.793571472167969e-05,9.589195251464843e-05,0.0001056671142578125,0.00013256072998046875,0.0006951332092285156,0.00018949508666992186
3,float16,int8,32,16,0.00024917125701904295,6.4849853515625e-06,0.00010251998901367188,9.918212890625e-06,0.0001220703125,5.626678466796875e-05,9.131431579589844e-05,0.00010318756103515625,0.00012998580932617189,0.0006894111633300781,0.00018496513366699218
